City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,bilma,18.6853,12.9164,23.53,16,64,2.42,NE,1670352361
84,tiksi,71.6872,128.8694,-31.5,100,96,2.09,RU,1670352362
85,svetlogorsk,52.6333,29.7333,-7.73,85,93,5.77,BY,1670352362
86,faya,18.3851,42.4509,14.06,63,0,1.85,SA,1670352363
87,cape town,-33.9258,18.4232,19.49,53,0,5.66,ZA,1670352350
88,high level,58.5169,-117.136,-35.94,68,0,2.57,CA,1670352364
89,san quintin,30.4833,-115.95,16.53,54,6,6.5,MX,1670352364
90,hithadhoo,-0.6,73.0833,27.67,74,85,5.14,MV,1670352364
91,east london,-33.0153,27.9116,18.52,82,0,2.57,ZA,1670352365
92,irinjalakuda,10.3333,76.2333,24.94,85,100,1.39,IN,1670352365
93,busselton,-33.65,115.3333,11.76,87,23,6.45,AU,1670352366
94,kavieng,-2.5744,150.7967,27.44,75,93,3.18,PG,1670352366
95,bar harbor,44.3876,-68.2039,9.78,75,100,4.12,US,1670352367
96,iqaluit,63.7506,-68.5145,-8.15,61,75,6.17,CA,1670352367
97,atuona,-9.8,-139.0333,25.26,76,98,6.63,PF,1670352368
98,oshikango,-17.4,15.8833,28.56,16,17,2.12,NA,1670352368
99,sault sainte marie,46.5168,-84.3333,0.31,66,75,3.09,CA,1670352226
100,clyde river,70.4692,-68.5914,-12.87,92,40,5.14,CA,1670352131
101,riyadh,24.6877,46.7219,25.08,34,6,4.52,SA,1670352300
102,virginia beach,36.8529,-75.978,19.03,87,75,3.6,US,1670352333
103,torbay,47.6666,-52.7314,2.54,97,100,4.63,CA,1670352353
104,thompson,55.7435,-97.8558,-29.91,69,20,3.09,CA,1670352139
105,chinhoyi,-17.3667,30.2,19.9,75,97,0.36,ZW,1670352370
106,katherine,-14.4667,132.2667,26.18,73,96,0.0,AU,1670352370
107,san juan,-31.5375,-68.5364,34.69,18,0,5.82,AR,1670352371
108,aleksandrovka,46.8383,32.7612,0.31,81,100,4.42,UA,1670352371
109,pueblo,38.2545,-104.6091,11.58,45,0,0.0,US,1670352130
110,bengkulu,-3.8004,102.2655,24.13,88,100,1.65,ID,1670352372
111,baghdad,33.3406,44.4009,13.95,72,0,1.03,IQ,1670352113
112,hermanus,-34.4187,19.2345,16.56,61,12,1.16,ZA,1670352372
113,zhezkazgan,47.8043,67.7144,-14.53,96,100,3.08,KZ,1670352373
114,puerto colombia,10.9878,-74.9547,32.05,66,39,7.51,CO,1670352373
115,aklavik,68.2191,-135.0107,-22.0,59,75,5.14,CA,1670352374
116,oistins,13.0667,-59.5333,29.05,61,20,5.14,BB,1670352374
117,upernavik,72.7868,-56.1549,-2.15,79,100,2.89,GL,1670352375
118,haines junction,60.7522,-137.5108,-9.49,98,96,0.52,CA,1670352262
119,ribeira grande,38.5167,-28.7,15.22,72,40,5.81,PT,1670352376
120,korla,41.7597,86.1469,-4.05,47,39,1.07,CN,1670352376
121,japura,-0.3167,102.35,23.25,98,99,0.65,ID,1670352377
122,udachnyy,66.4167,112.4,-15.86,77,100,8.94,RU,1670352378
123,leh,34.1667,77.5833,-6.89,78,53,0.58,IN,1670352378
124,hirado,33.3597,129.5531,7.44,57,100,7.91,JP,1670352379
125,coquimbo,-29.9533,-71.3436,18.85,72,75,4.63,CL,1670352379
126,nizhniy odes,63.6445,54.856,-15.74,92,95,3.88,RU,1670352380
127,medea,36.2642,2.7539,10.17,82,93,1.15,DZ,1670352380
128,shubarkuduk,49.1447,56.4872,-13.65,91,8,4.13,KZ,1670352380
129,port blair,11.6667,92.75,28.02,83,75,3.09,IN,1670352365
130,tuatapere,-46.1333,167.6833,6.45,78,14,2.47,NZ,1670352381
131,ust-nera,64.5667,143.2,-42.69,93,99,0.84,RU,1670352382
132,pamantingan,6.7044,124.4589,20.73,94,100,0.4,PH,1670352382
133,asau,46.4333,26.4,1.51,98,75,1.67,RO,1670352383
134,san patricio,28.017,-97.5169,26.15,62,44,7.14,US,1670352383
135,airai,-8.9266,125.4092,15.28,64,37,0.87,TL,1670352383
136,rawson,-43.3002,-65.1023,22.54,33,22,4.4,AR,1670352384
137,marawi,7.9986,124.2928,19.49,92,100,0.71,PH,1670352384
138,bintulu,3.1667,113.0333,25.23,94,20,2.68,MY,1670352385
139,mahibadhoo,3.7833,72.9667,26.52,78,24,1.21,MV,1670352385
140,puerto ayora,-0.7393,-90.3518,23.98,83,48,2.68,EC,1670352386
141,praia da vitoria,38.7333,-27.0667,14.31,88,75,7.55,PT,1670352386
142,yongan,39.6957,113.6871,-6.69,34,0,0.89,CN,1670352386
143,praia,14.9215,-23.5087,25.3,65,20,7.2,CV,1670352387
144,crewe,53.0979,-2.4416,4.9,79,67,1.79,GB,1670352387
145,altar,30.7,-111.8167,21.45,34,18,5.85,MX,1670352388
146,launceston,-41.45,147.1667,6.2,89,88,3.6,AU,1670352388
147,urusha,54.05,122.9,-24.77,97,100,1.2,RU,1670352389
148,berlevag,70.8578,29.0864,1.97,87,75,9.77,NO,1670352389
149,noumea,-22.2763,166.4572,26.67,99,100,0.88,NC,1670352390
150,hasaki,35.7333,140.8333,5.12,75,0,3.3,JP,1670352390
151,barra patuca,15.8,-84.2833,28.21,60,5,4.83,HN,1670352391
152,vila franca do campo,37.7167,-25.4333,16.23,82,68,8.25,PT,1670352391
153,massakory,12.996,15.7293,26.66,15,0,5.88,TD,1670352392
154,neuquen,-38.9516,-68.0591,29.94,26,0,2.06,AR,1670352225
155,albertville,34.2676,-86.2089,20.41,87,75,3.6,US,1670352392
156,deer lake,49.1667,-57.4316,-2.08,86,75,3.09,CA,1670352393
157,almaznyy,48.0448,40.045,-7.01,69,39,6.86,RU,1670352393
158,vostok,46.4856,135.8833,-14.61,96,100,2.25,RU,1670352393
159,anadyr,64.75,177.4833,-10.72,85,75,8.0,RU,1670352394
160,hualmay,-11.0964,-77.6139,22.33,69,17,4.9,PE,1670352394
161,hami,42.8,93.45,-4.97,36,100,0.45,CN,1670352395
162,kieta,-6.2167,155.6333,25.49,82,100,1.11,PG,1670352395
163,kapit,2.0167,112.9333,23.01,99,100,0.39,MY,1670352396
164,chabahar,25.2919,60.643,24.66,66,0,2.92,IR,1670352396
165,jiazi,22.8779,116.067,15.75,73,100,4.29,CN,1670352397
166,barrow,71.2906,-156.7887,-7.99,86,100,9.26,US,1670352397
167,avera,33.194,-82.5271,17.43,86,97,1.4,US,1670352398
168,vao,-22.6667,167.4833,24.65,87,56,1.61,NC,1670352398
169,halifax,44.6453,-63.5724,6.94,81,75,5.66,CA,1670352347
170,omsukchan,62.5333,155.8,-34.44,99,32,1.39,RU,1670352399
171,road town,18.4167,-64.6167,29.02,61,20,4.63,VG,1670352399
172,quebo,11.3333,-14.9333,26.09,61,4,2.76,GW,1670352400
173,isangel,-19.55,169.2667,22.06,94,99,2.06,VU,1670352400
174,peekskill,41.2901,-73.9204,13.58,88,100,0.45,US,1670352401
175,jalu,29.0331,21.5482,21.22,20,16,3.95,LY,1670352401
176,mahebourg,-20.4081,57.7,25.16,83,75,5.14,MU,1670352402
177,ostrovnoy,68.0531,39.5131,-3.76,87,47,11.19,RU,1670352402
178,filingue,14.3521,3.3168,28.46,13,100,4.56,NE,1670352403
179,belaya gora,68.5333,146.4167,-43.18,92,66,2.12,RU,1670352403
180,saint-philippe,-21.3585,55.7679,25.77,86,82,5.74,RE,1670352403
181,zaysan,47.4667,84.8667,-19.52,88,88,1.7,KZ,1670352404
182,basoko,1.2391,23.616,24.03,84,65,0.18,CD,1670352404
183,chiredzi,-21.05,31.6667,26.77,51,86,2.05,ZW,1670352405
184,vardo,70.3705,31.1107,-0.01,80,75,6.17,NO,1670352405
185,abha,18.2164,42.5053,13.9,72,0,0.0,SA,1670352134
186,asyut,27.181,31.1837,17.1,57,4,3.58,EG,1670352405
187,cidreira,-30.1811,-50.2056,23.67,78,11,4.71,BR,1670352406
188,saint-augustin,51.226,-58.6502,-2.29,88,100,2.13,CA,1670352406
189,rewari,28.1833,76.6167,14.5,31,0,3.33,IN,1670352406
190,kruisfontein,-34.0033,24.7314,18.27,83,0,2.17,ZA,1670352407
191,naze,28.3667,129.4833,14.51,63,85,7.19,JP,1670352407
192,kokkola,63.8385,23.1307,0.52,97,100,3.6,FI,1670352408
193,kushikino,31.7167,130.2667,7.35,73,100,3.52,JP,1670352408
194,pasighat,28.0667,95.3333,15.59,51,0,1.47,IN,1670352409
195,cody,44.5263,-109.0565,3.12,42,0,8.49,US,1670352357
196,sur,22.5667,59.5289,22.79,56,0,0.94,OM,1670352409
197,provideniya,64.3833,-173.3,-3.26,77,100,5.69,RU,1670352409
198,darasun,51.6667,114.0,-12.07,72,9,5.23,RU,1670352410
199,faanui,-16.4833,-151.75,26.52,74,18,8.19,PF,1670352410
200,port elizabeth,-33.918,25.5701,19.5,86,0,3.09,ZA,1670352411
201,bida,9.0833,6.0167,27.73,19,18,1.12,NG,1670352411
202,wawa,9.9022,4.4192,26.84,21,100,0.54,NG,1670352352
203,moron,-34.6534,-58.6198,37.67,43,0,4.32,AR,1670352411
204,bhag,29.0415,67.8239,18.44,24,0,0.59,PK,1670352412
205,kunming,25.0389,102.7183,8.96,81,0,6.0,CN,1670352253
206,mount gambier,-37.8333,140.7667,8.13,94,37,2.35,AU,1670352412
207,berbera,10.4396,45.0143,24.48,71,6,3.08,SO,1670352413
208,pionerskiy,54.9508,20.2275,0.97,90,100,4.21,RU,1670352413
209,krasnoselkup,65.7,82.4667,-16.13,97,91,5.0,RU,1670352413
210,villaviciosa,43.4813,-5.4357,14.98,91,79,1.49,ES,1670352414
211,celestun,20.8667,-90.4,29.12,56,18,3.53,MX,1670352414
212,kalat,29.0225,66.5916,6.16,48,0,0.93,PK,1670352414
213,ladario,-19.0047,-57.6017,35.16,43,40,4.12,BR,1670352415
214,nara,34.6851,135.8049,6.09,46,6,4.1,JP,1670352415
215,honiara,-9.4333,159.95,24.98,86,51,1.59,SB,1670352416
216,hervey bay,-25.2986,152.8535,23.02,82,0,3.15,AU,1670352416
217,alakurtti,66.9672,30.3491,-7.31,98,98,1.33,RU,1670352416
218,belmonte,-15.8631,-38.8828,25.99,73,91,3.62,BR,1670352417
219,kamaishi,39.2667,141.8833,3.79,84,29,2.59,JP,1670352417
220,farkhor,37.4922,69.4036,3.58,89,100,0.38,TJ,1670352417
221,vanimo,-2.6741,141.3028,25.14,86,100,1.62,PG,1670352418
222,awjilah,29.1081,21.2869,21.44,19,12,3.41,LY,1670352418
223,longyearbyen,78.2186,15.6401,-14.09,61,20,6.69,SJ,1670352174
224,harper,4.375,-7.7169,25.97,82,94,2.48,LR,1670352419
225,storforshei,66.4043,14.5233,-3.12,80,75,1.03,NO,1670352419
226,auki,-8.7676,160.7034,24.68,86,16,1.73,SB,1670352419
227,batagay,67.6333,134.6333,-37.48,100,70,0.63,RU,1670352420
228,sakete,6.7362,2.6587,26.23,82,91,3.06,BJ,1670352420
229,talara,-4.5772,-81.2719,27.42,50,0,7.72,PE,1670352420
230,arraial do cabo,-22.9661,-42.0278,24.98,88,75,4.63,BR,1670352421
231,arman,59.7,150.1667,-24.66,88,81,4.68,RU,1670352421
232,agarak,39.2068,46.5446,-3.32,93,99,0.43,AM,1670352422
233,uruzgan,32.8333,66.0,5.38,53,0,0.25,AF,1670352422
234,georgetown,5.4112,100.3354,26.96,96,40,2.06,MY,1670352423
235,lauterbach,50.6333,9.4,2.87,95,100,2.24,DE,1670352423
236,chifeng,42.2683,118.9636,-7.46,40,0,5.15,CN,1670352424
237,springfield,37.2153,-93.2982,15.92,86,75,4.12,US,1670352324
238,sananduva,-27.9497,-51.8067,28.91,52,54,2.6,BR,1670352424
239,saint-georges,12.0564,-61.7485,29.82,62,20,4.12,GD,1670352425
240,nanchong,30.7951,106.0847,8.15,75,92,0.57,CN,1670352425
241,gambiran,-6.7988,111.4951,23.62,93,100,1.88,ID,1670352425
242,vestmannaeyjar,63.4427,-20.2734,1.55,93,40,3.6,IS,1670352426
243,boyolangu,-8.1181,111.8935,24.18,89,100,0.8,ID,1670352426
244,baykit,61.67,96.37,-12.89,93,100,2.97,RU,1670352427
245,juazeiro,-9.4117,-40.4986,28.1,78,40,2.06,BR,1670352427
246,lollar,50.6465,8.705,4.45,92,66,0.45,DE,1670352427
247,lompoc,34.6391,-120.4579,16.12,78,40,3.09,US,1670352428
248,la ronge,55.1001,-105.2842,-30.86,62,40,5.66,CA,1670352428
249,honningsvag,70.9821,25.9704,2.86,81,75,8.23,NO,1670352428
250,sao miguel do araguaia,-13.275,-50.1628,29.0,60,89,1.96,BR,1670352429
251,lisala,2.15,21.5167,23.63,82,97,1.51,CD,1670352429
252,georgiyevskoye,58.731,45.024,-9.74,85,99,4.2,RU,1670352430
253,lukuledi,-10.5667,38.8,24.09,80,26,3.24,TZ,1670352430
254,portland,45.5234,-122.6762,5.15,91,100,0.89,US,1670352317
255,porto novo,6.4965,2.6036,27.9,82,79,3.3,BJ,1670352169
256,monroe,43.1501,-77.6831,8.56,76,100,2.06,US,1670352431
257,resistencia,-27.4606,-58.9839,40.05,29,0,1.03,AR,1670352431
258,jacareacanga,-6.2222,-57.7528,29.95,66,100,1.1,BR,1670352431
259,siyabuswa,-25.1132,29.0445,16.33,85,100,6.23,ZA,1670352432
260,tokmak,47.2514,35.7058,-0.56,54,100,6.8,UA,1670352432
261,ancud,-41.8697,-73.8203,15.32,75,61,3.7,CL,1670352433
262,tshikapa,-6.4167,20.8,22.92,86,99,1.57,CD,1670352433
263,ostersund,63.1792,14.6357,-3.75,86,20,13.86,SE,1670352434
264,jiangkou,25.4872,119.1986,14.47,77,100,5.13,CN,1670352434
265,banda aceh,5.5577,95.3222,25.25,86,100,5.06,ID,1670352435
266,zarinsk,53.7074,84.9493,-19.73,100,86,1.2,RU,1670352435
267,porto velho,-8.7619,-63.9039,28.03,74,75,3.6,BR,1670352436
268,okato,-39.2,173.8833,16.06,100,100,3.85,NZ,1670352436
269,casas grandes,30.3667,-107.95,19.13,40,18,6.11,MX,1670352436
270,dunda,-8.1167,34.25,23.23,48,51,1.06,TZ,1670352437
271,gat,31.61,34.7642,16.38,100,71,0.8,IL,1670352437
272,san jeronimo,-11.9472,-75.2829,14.99,53,100,3.6,PE,1670352438
273,balkanabat,39.5108,54.3671,1.36,39,82,1.01,TM,1670352438
274,novyy urengoy,66.0833,76.6333,-16.02,96,100,5.19,RU,1670352439
275,garautha,25.5667,79.3,14.58,40,0,2.87,IN,1670352439
276,kahului,20.8947,-156.47,26.02,81,20,1.79,US,1670352440
277,viedma,-40.8135,-62.9967,28.6,19,0,4.24,AR,1670352440
278,caravelas,-17.7125,-39.2481,26.11,70,100,4.09,BR,1670352441
279,padang,-0.9492,100.3543,25.08,90,100,2.23,ID,1670352441
280,jining,35.405,116.5814,2.01,72,42,2.25,CN,1670352442
281,olafsvik,64.8945,-23.7142,4.17,71,96,4.66,IS,1670352442
282,gladstone,-23.85,151.25,21.96,73,0,0.0,AU,1670352442
283,aligudarz,33.4006,49.6949,3.18,78,30,1.08,IR,1670352433
284,prainha,-1.8,-53.48,30.99,52,78,3.22,BR,1670352443
285,sao filipe,14.8961,-24.4956,23.45,72,49,2.34,CV,1670352443
286,matipo,-20.2839,-42.3411,20.94,90,100,1.29,BR,1670352444
287,bukachacha,52.9833,116.9167,-21.8,94,6,1.86,RU,1670352444
288,yebaishou,41.3975,119.6408,-7.95,37,0,2.77,CN,1670352445
289,marystown,47.1666,-55.1483,3.77,88,43,5.45,CA,1670352190
290,pisco,-13.7,-76.2167,25.03,57,0,8.75,PE,1670352445
291,severo-kurilsk,50.6789,156.125,-1.22,80,71,5.17,RU,1670352445
292,zhigansk,66.7697,123.3711,-31.19,97,100,9.85,RU,1670352446
293,bisira,8.5196,-81.7115,21.62,53,9,2.09,PA,1670352446
294,zhanakorgan,43.9098,67.2495,-11.81,83,2,1.62,KZ,1670352447
295,brownwood,31.7093,-98.9912,25.62,65,100,5.29,US,1670352447
296,zharkent,44.1628,80.0,-7.06,74,76,1.67,KZ,1670352448
297,laguna,38.421,-121.4238,11.77,84,100,3.09,US,1670352448
298,scunthorpe,53.579,-0.6544,4.88,55,18,3.13,GB,1670352449
299,lebu,-37.6167,-73.65,18.93,66,6,3.98,CL,1670352449
300,tura,25.5198,90.2201,15.72,89,94,1.26,IN,1670352449
301,ena,35.4498,137.4128,4.36,98,100,0.7,JP,1670352450
302,khani,41.9563,42.9566,1.76,76,94,1.81,GE,1670352450
303,kudahuvadhoo,2.6708,72.8944,26.62,78,16,2.57,MV,1670352451
304,bemidji,47.4736,-94.8803,-10.53,82,0,3.09,US,1670352451
305,semey,50.4111,80.2275,-25.85,99,40,1.76,KZ,1670352452
306,ayan,56.45,138.1667,-17.29,70,25,4.25,RU,1670352452
307,lagoa,39.05,-27.9833,14.89,78,100,13.04,PT,1670352453
308,tonota,-21.4833,27.4833,26.15,47,100,2.14,BW,1670352453
309,lata,40.1629,-8.3327,13.37,92,100,0.89,PT,1670352453
310,mehamn,71.0357,27.8492,1.95,93,75,5.14,NO,1670352454
311,champerico,14.3,-91.9167,32.3,69,9,3.49,GT,1670352454
312,ishigaki,24.3448,124.1572,22.07,73,75,8.75,JP,1670352455
313,luderitz,-26.6481,15.1594,16.51,69,0,8.88,NA,1670352455
314,nador,35.174,-2.9287,18.14,68,0,2.06,MA,1670352455
315,saint pete beach,27.7253,-82.7412,28.39,61,0,2.06,US,1670352456
316,winona,43.9666,-91.7668,-0.88,67,0,2.06,US,1670352456
317,birao,10.2849,22.7882,23.1,20,0,2.99,CF,1670352457
318,bambous virieux,-20.3428,57.7575,25.14,83,75,5.14,MU,1670352457
319,esperance,-33.8667,121.9,14.77,73,100,6.78,AU,1670352344
320,pangai,-19.8,-174.35,26.06,89,75,2.57,TO,1670352458
321,sao joao da barra,-21.6403,-41.0511,28.05,88,100,7.0,BR,1670352458
322,mulege,26.8833,-111.9833,21.69,53,100,0.91,MX,1670352459
323,de-kastri,51.4667,140.7833,-14.62,88,100,1.99,RU,1670352459
324,horki,54.2861,30.9842,-8.77,81,98,6.56,BY,1670352459
325,new iberia,30.0035,-91.8187,28.0,57,75,8.23,US,1670352460
326,kabare,-2.4683,28.8242,15.48,93,57,0.39,CD,1670352385
327,port hedland,-20.3167,118.5667,27.03,61,1,5.66,AU,1670352460
328,shelburne,44.0787,-80.2041,4.87,77,100,2.45,CA,1670352461
329,gizo,-8.103,156.8419,27.52,74,100,1.88,SB,1670352461
330,victoria,22.2855,114.1577,17.92,77,3,4.47,HK,1670352355
331,ahuimanu,21.4447,-157.8378,25.9,81,0,1.54,US,1670352462
332,sangar,63.9242,127.4739,-37.97,99,54,1.51,RU,1670352462
333,cabo san lucas,22.8909,-109.9124,31.45,55,18,2.93,MX,1670352462
334,le vauclin,14.5452,-60.8388,31.03,58,0,5.14,MQ,1670352410
335,zhanaozen,43.3,52.8,-6.2,61,0,3.32,KZ,1670352463
336,disna,55.568,28.1971,-4.09,95,100,5.11,BY,1670352463
337,campbell river,50.0163,-125.2446,3.03,100,100,1.03,CA,1670352464
338,namibe,-15.1961,12.1522,21.54,77,0,2.15,AO,1670352464
339,mumford,5.2618,-0.759,26.88,85,99,4.92,GH,1670352464
340,cherskiy,68.75,161.3,-26.69,98,100,3.87,RU,1670352465
341,axim,4.8699,-2.2405,26.22,84,65,3.36,GH,1670352465
342,xichang,27.8964,102.2634,5.96,76,0,0.86,CN,1670352466
343,susangerd,31.5608,48.1831,20.38,38,88,0.84,IR,1670352466
344,broken hill,-31.95,141.4333,22.94,35,100,2.08,AU,1670352466
345,aberdeen,57.1437,-2.0981,3.05,94,75,4.63,GB,1670352198
346,verkhneuralsk,53.8769,59.2106,-24.06,99,5,0.87,RU,1670352467
347,grindavik,63.8424,-22.4338,2.26,100,100,1.03,IS,1670352467
348,aras,42.5617,-2.356,8.18,100,75,0.51,ES,1670352281
349,chulman,56.8479,124.9104,-22.84,93,100,3.88,RU,1670352468
350,sibu,2.3,111.8167,24.17,100,40,1.54,MY,1670352468
351,honjo,36.2333,139.1833,3.71,68,1,2.79,JP,1670352469
352,walsrode,52.8667,9.6,3.1,93,52,2.28,DE,1670352469
353,salinopolis,-0.6136,-47.3561,28.6,70,63,6.14,BR,1670352470
354,los llanos de aridane,28.6585,-17.9182,20.86,91,40,1.03,ES,1670352470
355,fuerte olimpo,-21.0415,-57.8738,33.97,43,86,1.87,PY,1670352470
356,okhotsk,59.3833,143.3,-26.5,91,81,2.56,RU,1670352471
357,antalaha,-14.9003,50.2788,22.77,85,0,3.75,MG,1670352471
358,camacha,33.0833,-16.3333,16.68,88,40,3.09,PT,1670352471
359,namatanai,-3.6667,152.4333,25.98,82,100,2.44,PG,1670352472
360,pevek,69.7008,170.3133,-13.08,94,100,1.3,RU,1670352472
361,sangueya,10.7,-14.3667,25.94,69,7,2.29,GN,1670352472
362,santa cruz cabralia,-16.2781,-39.0247,27.13,78,75,5.14,BR,1670352473
363,inta,66.0317,60.1659,-11.61,82,100,7.31,RU,1670352473
364,tobermory,45.2501,-81.6665,3.64,87,100,5.65,CA,1670352474
365,nipawin,53.3668,-104.0009,-28.98,69,0,5.66,CA,1670352474
366,sorland,67.667,12.6934,0.92,71,100,14.61,NO,1670352474
367,otradnoye,59.7775,30.8181,-5.97,93,100,3.88,RU,1670352475
368,amurzet,47.6967,131.0981,-16.78,93,85,2.01,RU,1670352475
